<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20180429,220200,1322.6,1322.6,1322.6,1322.6,4
XAUUSD,20180429,220300,1322.6,1322.6,1322.6,1322.6,4
XAUUSD,20180429,220400,1322.5,1322.5,1322.5,1322.5,4
XAUUSD,20180429,220500,1322.5,1322.5,1322.5,1322.5,4
XAUUSD,20180429,220600,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,220700,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,220800,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,220900,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221000,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221100,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221200,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221300,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221400,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221500,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,221600,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221700,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221800,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,221900,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222000,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222100,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222200,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222300,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222400,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222500,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222600,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222700,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222800,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,222900,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,223000,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,223100,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,223200,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,223300,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,223400,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,223500,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,223600,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,223700,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,223800,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,223900,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,224000,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,224100,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,224200,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,224300,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,224400,1323.4,1323.4,1323.4,1323.4,4
XAUUSD,20180429,224500,1323.3,1323.3,1323.3,1323.3,4
XAUUSD,20180429,224600,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,224700,1323.3,1323.3,1323.3,1323.3,4
XAUUSD,20180429,224800,1323.4,1323.4,1323.4,1323.4,4
XAUUSD,20180429,224900,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,225000,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225100,1323.0,1323.0,1323.0,1323.0,4
XAUUSD,20180429,225200,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225300,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225400,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225500,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225600,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225700,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225800,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,225900,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230000,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230100,1322.8,1322.8,1322.8,1322.8,4
XAUUSD,20180429,230200,1322.9,1322.9,1322.9,1322.9,4
XAUUSD,20180429,230300,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230400,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230500,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,230600,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230700,1323.1,1323.1,1323.1,1323.1,4
XAUUSD,20180429,230800,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,230900,1323.2,1323.2,1323.2,1323.2,4
XAUUSD,20180429,231000,1323.3,1323.3,1323.3,1323.3,4
XAUUSD,20180429,231100,1323.3,1323.3,1323.3,1323.3,4
XAUUSD,20180429,231200,1323.4,1323.4,1323.4,1323.4,4
XAUUSD,20180429,231300,1323.5,1323.5,1323.5,1323.5,4
XAUUSD,20180429,231400,1323.8,1323.8,1323.8,1323.8,4
XAUUSD,20180429,231500,1323.9,1323.9,1323.9,1323.9,4
XAUUSD,20180429,231600,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,231700,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,231800,1324.1,1324.1,1324.1,1324.1,4
XAUUSD,20180429,231900,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,232000,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,232100,1324.1,1324.1,1324.1,1324.1,4
XAUUSD,20180429,232200,1324.1,1324.1,1324.1,1324.1,4
XAUUSD,20180429,232300,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,232400,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,232500,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,232600,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,232700,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,232800,1323.9,1323.9,1323.9,1323.9,4
XAUUSD,20180429,232900,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,233000,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,233100,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,233200,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,233300,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,233400,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,233500,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,233600,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,233700,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,233800,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,233900,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,234000,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,234100,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,234200,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,234300,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,234400,1324.4,1324.4,1324.4,1324.4,4
XAUUSD,20180429,234500,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,234600,1324.5,1324.5,1324.5,1324.5,4
XAUUSD,20180429,234700,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,234800,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,234900,1324.2,1324.2,1324.2,1324.2,4
XAUUSD,20180429,235000,1324.1,1324.1,1324.1,1324.1,4
XAUUSD,20180429,235100,1324.1,1324.1,1324.1,1324.1,4
XAUUSD,20180429,235200,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,235300,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,235400,1324.0,1324.0,1324.0,1324.0,4
XAUUSD,20180429,235500,1323.9,1323.9,1323.9,1323.9,4
XAUUSD,20180429,235600,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,235700,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,235800,1324.3,1324.3,1324.3,1324.3,4
XAUUSD,20180429,235900,1324.2,1324.2,1324.2,1324.2,4
